Espece,Info,Race,Categorie,URL
chien,135,Chien Suédois de Laponie,Groupe 5,https://i.imgur.com/hguFNXn.jpg
chien,206,Épagneul Japonais,Groupe 9,https://i.imgur.com/pW2RHcu.jpg
chien,336,Chien d'Eau Espagnol,Groupe 8,https://i.imgur.com/G16NzNP.jpg
chien,218,Chihuahua,Groupe 9,https://i.imgur.com/CZIcsSJ.jpg
chien,205,Chow Chow,Groupe 5,https://i.imgur.com/stWZUEg.jpg
chien,353,Cimarron Uruguayen,Groupe 2,https://i.imgur.com/049BnA4.jpg
chien,199,Cirneco de l'Etna,Groupe 5,https://i.imgur.com/4cV8hVl.jpg
chien,109,Clumber Spaniel,Groupe 8,https://i.imgur.com/sqyiWLI.jpg
chien,5,Cocker Anglais,Groupe 8,https://i.imgur.com/hPe4e6H.jpg
chien,271,Bearded Collie,Groupe 1,https://i.imgur.com/7DujCZU.jpg
chien,296,Colley à Poil Court,Groupe 1,https://i.imgur.com/dWNwWZG.jpg
chien,156,Colley à Poil Long,Groupe 1,https://i.imgur.com/9PPV0n6.jpg
chien,300,Black and Tan Coonhound,Groupe 6,https://i.imgur.com/oiPYb0e.jpg
chien,283,Coton de Tuléar,Groupe 9,https://i.imgur.com/YujVz0z.jpg
chien,110,Curly Coated Retriever,Groupe 8,https://i.imgur.com/DNUJtrm.jpg
chien,153,Dalmatien,Groupe 6,https://i.imgur.com/3Y92UsW.jpg
chien,168,Dandie Dinmont Terrier,Groupe 3,https://i.imgur.com/EVDqtah.jpg
chien,117,Langhaar,Groupe 7,https://i.imgur.com/j0H110Y.jpg
chien,184,Pinscher Allemand,Groupe 2,https://i.imgur.com/FXTfoyg.jpg
chien,104,Chien d'Oysel,Groupe 8,https://i.imgur.com/EBS0TwL.jpg
chien,143,Dobermann,Groupe 2,https://i.imgur.com/wdFjehr.jpg
chien,346,Dogo Canario,Groupe 2,https://i.imgur.com/KDJ0qeY.jpg
chien,235,Dogue Allemand,Groupe 2,https://i.imgur.com/ZmRgnUG.jpg
chien,292,Dogue Argentin,Groupe 2,https://i.imgur.com/sLKeotG.jpg
chien,116,Dogue de Bordeaux,Groupe 2,https://i.imgur.com/v6lv7Ha.jpg
chien,230,Dogue du Tibet,Groupe 2,https://i.imgur.com/s2hkHMY.jpg
chien,98,Draathaar,Groupe 7,https://i.imgur.com/psXEHIp.jpg
chien,203,Chien Courant Norvégien,Groupe 6,https://i.imgur.com/OG5oEEt.jpg
chien,264,Mastiff,Groupe 2,https://i.imgur.com/sYT72cO.jpg
chien,1,Pointer,Groupe 7,https://i.imgur.com/IUcRhUb.jpg
chien,2,Setter Anglais,Groupe 7,https://i.imgur.com/lTCWeuY.jpg
chien,125,Springer Anglais,Groupe 8,https://i.imgur.com/vBHG6Qv.jpg
chien,128,English Toy Spaniel,Groupe 9,https://i.imgur.com/BGwCfWT.jpg
chien,224,Épagneul à Perdrix de Drente,Groupe 7,https://i.imgur.com/tIfNZjF.jpg
chien,106,Épagneul bleu de Picardie,Groupe 7,https://i.imgur.com/k4fZsVu.jpg
chien,95,Épagneul Breton,Groupe 7,https://i.imgur.com/pt8dYj9.jpg
chien,114,Épagneul de Pont-Audemer,Groupe 7,https://i.imgur.com/lXXEJQM.jpg
chien,175,Épagneul français,Groupe 7,https://i.imgur.com/oEDtSui.jpg
chien,77,Épagneul Nain Continental Papillon,Groupe 9,https://i.imgur.com/RWSpqB6.jpg
chien,207,Pékinois,Groupe 9,https://i.imgur.com/znIiwbw.jpg
chien,108,Épagneul picard,Groupe 7,https://i.imgur.com/oYoQ5vi.jpg
chien,211,Esquimau Canadien,Groupe 5,https://i.imgur.com/peRkaLt.jpg
chien,173,Chien de Montagne Portugais,Groupe 2,https://i.imgur.com/7WMdqhc.jpg
chien,291,Eurasier,Groupe 5,https://i.imgur.com/I0Oe2uB.jpg
chien,123,Field Spaniel,Groupe 8,https://i.imgur.com/Hfmj9k2.jpg
chien,225,Fila Brasileiro,Groupe 2,https://i.imgur.com/aIyy0vj.jpg
chien,340,Fila de Sao Miguel,Groupe 2,https://i.imgur.com/BecLr7I.jpg
chien,121,Retriever à Poil Plat,Groupe 8,https://i.imgur.com/YNv3YJO.jpg
chien,169,Fox Terrier à Poil Dur,Groupe 3,https://i.imgur.com/kFcKWPm.jpg
chien,12,Fox Terrier à Poil Lisse,Groupe 3,https://i.imgur.com/GwEptJ2.jpg
chien,303,Foxhound Américain,Groupe 6,https://i.imgur.com/PN675FP.jpg
chien,159,Foxhound Anglais,Groupe 6,https://i.imgur.com/R04ZuCD.jpg
chien,220,Français blanc et noir,Groupe 6,https://i.imgur.com/RrNwfuu.jpg
chien,316,Français blanc et orange,Groupe 6,https://i.imgur.com/l84KSXS.jpg
chien,219,Français tricolore,Groupe 6,https://i.imgur.com/FowcUgn.jpg
chien,111,Golden Retriever,Groupe 8,https://i.imgur.com/ZW75JGv.jpg
chien,354,Chien Courant Polonais,Groupe 6,https://i.imgur.com/H1QashA.jpg
chien,323,Grand Anglo Français Blanc et Noir,Groupe 6,https://i.imgur.com/8lPP0hd.jpg
chien,324,Grand Anglo Français Blanc et Orange,Groupe 6,https://i.imgur.com/CaOWtqc.jpg
chien,322,Grand Anglo Français Tricolore,Groupe 6,https://i.imgur.com/M8tKWVl.jpg
chien,33,Grand Basset Griffon Vendéen,Groupe 6,https://i.imgur.com/QqFMghb.jpg
chien,22,Grand Bleu de Gascogne,Groupe 6,https://i.imgur.com/G6ElPFo.jpg
chien,58,Grand Bouvier Suisse,Groupe 2,https://i.imgur.com/SCY2kuZ.jpg
chien,118,Grand épagneul de Münster,Groupe 7,https://i.imgur.com/ed3eA0e.jpg
chien,282,Grand Griffon Vendéen,Groupe 6,https://i.imgur.com/pRkkjjY.jpg
chien,158,Greyhound,Groupe 10,https://i.imgur.com/HDqOWGO.jpg
chien,81,Griffon belge,Groupe 9,https://i.imgur.com/ptwQ04z.jpg
chien,32,Griffon bleu de Gascogne,Groupe 6,https://i.imgur.com/qEPYbiD.jpg
chien,80,Griffon bruxellois,Groupe 9,https://i.imgur.com/axfPOzx.jpg
chien,66,Griffon fauve de Bretagne,Groupe 6,https://i.imgur.com/1jTzF9V.jpg
chien,107,Korthals,Groupe 7,https://i.imgur.com/EfhPNLC.jpg
chien,17,Griffon Nivernais,Groupe 6,https://i.imgur.com/DpvdhbL.jpg
chien,295,Harrier,Groupe 6,https://i.imgur.com/ynsZTBe.jpg
chien,261,Hokkaïdo Ken,Groupe 5,https://i.imgur.com/j0ACjIA.jpg
chien,308,Smous des Pays-Bas,Groupe 2,https://i.imgur.com/aODC4Ll.jpg
chien,190,Hovawart,Groupe 2,https://i.imgur.com/WhsbhSv.jpg
chien,120,Setter Irlandais,Groupe 7,https://i.imgur.com/HcenApT.jpg
chien,124,Épagneul d'Eau Irlandais,Groupe 8,https://i.imgur.com/g5zsoyr.jpg
chien,160,Irish Wolfhound,Groupe 10,https://i.imgur.com/Okt6IG3.jpg
chien,200,Petit Lévrier Italien,Groupe 10,https://i.imgur.com/jQ14Ulo.jpg
chien,345,Jack Russell,Groupe 3,https://i.imgur.com/4A5EDmj.jpg
chien,334,Jindo Coréen,Groupe 5,https://i.imgur.com/ZRIUust.jpg
chien,317,Kai Ken,Groupe 5,https://i.imgur.com/M44jS5K.jpg
